|       | Mask      Model | Face       | Hair       | Parts of Face | 20%        | 30%        | 40%        | 50%        | 60%        | 70%        | 80%        | 90%        |
|-------|-----------------|------------|------------|---------------|------------|------------|------------|------------|------------|------------|------------|------------|
|   L1  | MAT             | 48.970     | 59.428     | 34.118        | 96.558     | 99.373     | 102.633    | 106.242    | 111.123    | 114.556    | 118.160    | 122.440    |
|       | MISF            | 67.333     | 76.381     | 58.762        | 97.644     | 102.182    | 109.123    | 119.748    | 150.565    | 149.654    | 144.443    | 136.671    |
|       | LaMA            | **31.401** | **46.709** | **9.574**     | **28.331** | **39.437** | **49.162** | **57.609** | **69.496** | **75.497** | **77.498** | **84.176** |
|   L2  | MAT             | **31.974** | **30.772** | 4.795         | 19.975     | 26.301     | **33.387** | **41.487** | **50.121** | **61.467** | 74.312     | 88.548     |
|       | MISF            | 34.925     | 35.047     | 6.923         | 32.981     | 39.603     | 46.770     | 55.423     | 81.444     | 90.452     | 98.864     | 104.471    |
|       | LaMA            | 32.000     | 31.019     | **4.698**     | **17.139** | **26.239** | 35.325     | 44.784     | 56.131     | 64.266     | **68.078** | **74.535** |
|  SSIM | MAT             | 0.868      | 0.797      | 0.973         | 0.896      | 0.864      | 0.828      | 0.786      | 0.740      | 0.685      | **0.623**  | **0.552**  |
|       | MISF            | 0.823      | 0.765      | 0.967         | 0.813      | 0.767      | 0.720      | 0.669      | 0.564      | 0.502      | 0.431      | 0.410      |
|       | LaMA            | **0.945**  | **0.863**  | **0.990**     | **0.960**  | **0.938**  | **0.916**  | **0.891**  | **0.836**  | **0.747**  | 0.575      | 0.398      |
|  PSNR | MAT             | 20.869     | 21.264     | 29.544        | **32.451** | **30.597** | **29.007** | **27.496** | 19.531     | 17.185     | 15.032     | **13.031** |
|       | MISF            | 19.891     | 20.673     | **31.209**    | 26.692     | 24.635     | 22.876     | 21.125     | 18.065     | 16.098     | 13.965     | 0.519      |
|       | LaMA            | **21.246** | **22.497** | 30.459        | 29.820     | 27.445     | 25.656     | 24.023     | **20.992** | **18.247** | **15.110** | 12.015     |
| LPIPS | MAT             | **0.108**  | 0.143      | 0.028         | 0.061      | **0.091**  | **0.126**  | **0.167**  | **0.203**  | 0.260      | 0.327      | 0.412      |
|       | MISF            | 0.138      | **0.139**  | **0.025**     | 0.063      | 0.092      | 0.127      | 0.173      | 0.324      | 0.410      | 0.519      | 0.619      |
|       | LaMA            | 0.119      | 0.141      | 0.026         | **0.060**  | 0.096      | 0.135      | 0.178      | 0.224      | **0.240**  | **0.194**  | **0.181**  |
