|       | Mask Model | 20%        | 40%        | 60%        | 80%         |
|-------|------------|------------|------------|------------|-------------|
|   L1  | MAT        | 100.359    | 104.383    | 108.986    | 116.551     |
|       | MISF       | 127.692    | 119.682    | **96.617** | **103.584** |
|       | LaMA       | **57.414** | **81.732** | 116.016    | 122.678     |
|   L2  | MAT        | **16.602** | **24.445** | **41.158** | **66.771**  |
|       | MISF       | 28.361     | 50.250     | 91.229     | 100.036     |
|       | LaMA       | 21.311     | 40.734     | 62.467     | 78.763      |
|  SSIM | MAT        | **0.940**  | **0.904**  | **0.799**  | **0.645**   |
|       | MISF       | 0.826      | 0.660      | 0.418      | 0.305       |
|       | LaMA       | 0.903      | 0.806      | 0.707      | 0.573       |
|  PSNR | MAT        | **34.203** | **31.376** | **21.174** | **15.955**  |
|       | MISF       | 24.127     | 20.080     | 14.226     | 10.624      |
|       | LaMA       | 26.020     | 22.368     | 19.404     | 15.909      |
| LPIPS | MAT        | **0.045**  | **0.083**  | **0.163**  | **0.329**   |
|       | MISF       | 0.084      | 0.187      | 0.455      | 0.599       |
|       | LaMA       | 0.060      | 0.136      | 0.224      | 0.377       |
